Gene,Disease Mean,Normal Mean,Log2 Fold Change,Regulation
FOS,108.23990828197262,2454.103712280612,-4.502891779872828,Downregulated
AR,7.6517238454109595,14.576125728592592,-0.9297505067820837,Downregulated
GPX3,122.3545033935274,1620.8783317385369,-3.7276366832572574,Downregulated
CDKN2A,97.19343326564383,15.935997507000002,2.6085694409978895,Upregulated
GSTM3,17.524811455561643,210.19841794451855,-3.5842809075688367,Downregulated
NUP210,54.7521202379589,30.252694225111114,0.8558511811020395,Upregulated
IGF1,8.702873592143835,22.439872661981482,-1.3665006411202445,Downregulated
KIF2C,69.33273257963015,27.456821695462963,1.3363719563221592,Upregulated
HSPB8,49.635631486,388.6247364675,-2.9689296557071225,Downregulated
